Line,Zcham,Distance,1,2,3,4,5,6,7,8,9,10,11,12,13
1,2.5,0%,4.802,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,10%,4.642,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,20%,4.49,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,30%,4.436,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,40%,4.208,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,50%,4.078,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,60%,3.954,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,70%,3.836,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,80%,3.724,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,90%,3.618,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5,100%,3.517,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0%,4.172,0,0,0,0,0,0,0,0,0,0,0,0
1,3,10%,4.058,0,0,0,0,0,0,0,0,0,0,0,0
1,3,20%,3.948,0,0,0,0,0,0,0,0,0,0,0,0
1,3,30%,3.842,0,0,0,0,0,0,0,0,0,0,0,0
1,3,40%,3.74,0,0,0,0,0,0,0,0,0,0,0,0
1,3,50%,3.641,0,0,0,0,0,0,0,0,0,0,0,0
1,3,60%,3.547,0,0,0,0,0,0,0,0,0,0,0,0
1,3,70%,3.456,0,0,0,0,0,0,0,0,0,0,0,0
1,3,80%,3.369,0,0,0,0,0,0,0,0,0,0,0,0
1,3,90%,3.285,0,0,0,0,0,0,0,0,0,0,0,0
1,3,100%,3.205,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,0%,3.674,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,10%,3.589,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,20%,3.507,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,30%,3.427,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,40%,3.35,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,50%,3.274,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,60%,3.201,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,70%,3.13,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,80%,3.062,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,90%,2.995,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,100%,2.931,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0%,3.274,0,0,0,0,0,0,0,0,0,0,0,0
1,4,10%,3.21,0,0,0,0,0,0,0,0,0,0,0,0
1,4,20%,3.147,0,0,0,0,0,0,0,0,0,0,0,0
1,4,30%,3.085,0,0,0,0,0,0,0,0,0,0,0,0
1,4,40%,3.025,0,0,0,0,0,0,0,0,0,0,0,0
1,4,50%,2.966,0,0,0,0,0,0,0,0,0,0,0,0
1,4,60%,2.908,0,0,0,0,0,0,0,0,0,0,0,0
1,4,70%,2.852,0,0,0,0,0,0,0,0,0,0,0,0
1,4,80%,2.797,0,0,0,0,0,0,0,0,0,0,0,0
1,4,90%,2.744,0,0,0,0,0,0,0,0,0,0,0,0
1,4,100%,2.692,0,0,0,0,0,0,0,0,0,0,0,0
1,4.5,0%,2.948,0,0,0,0,0,0,0,0,0,0,0,0
1,4.5,10%,2.898,0,0,0,0,0,0,0,0,0,0,0,0
1,4.5,20%,2.849,0,0,0,0,0,0,0,0,0,0,0,0
1,4.5,30%,2.8,0,0,0,0,0,0,0,0,0,0,0,0
1,4.5,40%,2.752,0,0,0,0,0,0,0,0,0,0,0,0
